rating|ServiceLimit|SLCode|39|0|C1000MINVOICE10|C1000MINVOICE11|C1000MINVOICE7|C1000MINVOICE8|C1000MINVOICE9|CDNACALL100|CDNACALL1500
rating|ServiceLimit|ReportType|1|0|1||||||
rating|ServiceLimit|InclAmt|20|0|50|75|100|200|300|350|450
rating|ServiceLimit|InclUnit|3|0|1|4|5||||
rating|ServiceLimit|SLName|38|0|Calls to DNA direction 100 minutes|Calls to DNA direction 1500 minutes|Calls to DNA or DNA Pro mobile|Calls to Domestic destination 1000|Calls to Domestic destination 3500|Calls to Domestic destination 5000|Calls to Domestic direction 100 minutes
rating|ServiceLimit|WebDisp|1|0|1||||||
rating|ServiceLimit|ToTS|1|0|0||||||
rating|ServiceLimit|ValidFrom|14|0|17/05/11|19/05/11|01/01/13|01/03/13|12/03/13|01/04/13|23/05/13
rating|ServiceLimit|ValidTo|2|0|31/12/16|31/12/49|||||
rating|ServiceLimit|GroupCode|41|0|C1000MINVOICE10|C1000MINVOICE11|C1000MINVOICE7|C1000MINVOICE8|C1000MINVOICE9|CDNACALL100|CDNACALL1500
rating|ServiceLimit|SLSeq|45|0|1|2|3|4|5|6|7
rating|ServiceLimit|CDRRule|1|0|0||||||
rating|ServiceLimit|DialType|5|0|4|5|7|10|15||
rating|ServiceLimit|ForeignKey|1|0|0||||||
rating|ServiceLimitGroup|ValidTo|1|0|31/12/49||||||
rating|ServiceLimitGroup|GroupName|37|0|Domestic data transfer 2Gt|Kampanja DNA-DNA puhelut 1000 min/kk|Kotimaan DNA-DNA matkapuhelut 100 min|Kotimaan DNA-DNA matkapuhelut 1500 min|Kotimaan DNA-DNA tekstiviestit 1500 kpl|Kotimaan normaalihintaiset tekstiviestit 1000 kpl|Normaalit DNA-DNA matkapuhelut 3000 min/kk
rating|ServiceLimitGroup|GroupCode|41|0|C1000MINVOICE10|C1000MINVOICE11|C1000MINVOICE7|C1000MINVOICE8|C1000MINVOICE9|CDNACALL100|CDNACALL1500
rating|ServiceLimitGroup|Brand|1|0|1||||||
rating|ServiceLimitGroup|ValidFrom|13|0|17/05/11|19/05/11|01/01/13|11/03/13|01/04/13|23/05/13|01/02/14
rating|ServiceLimitTarget|InsideRate|3|0||CPACK_|PACK_||||
rating|ServiceLimitTarget|OutsideRate|2|0||PACK_|||||
rating|ServiceLimitTarget|ServiceLimitMT|1|0|0||||||
rating|ServiceLimitTarget|SLSeq|46|0|1|2|3|4|5|6|7
rating|ServiceLimitTarget|ServiceLMember|22|0|1NATCALLDNAMOB|1NATCALLFIX|1NATCALLOTHMOB|1NATSMSDNAMOB|1NATSMSOTHALL|1NATVIDDNAMOB|1NATVIDEOOTH
rating|SLCDRRule|ValidTo|0|0|||||||
rating|SLCDRRule|ValidFrom|0|0|||||||
rating|SLCDRRule|SLValue|0|0|||||||
rating|SLCDRRule|SLSeq|0|0|||||||
